Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,LOI,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
669,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,383,0,1188,546,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,8,54.4,25.6,0,0,121.972,1,90,1,24,143.787533333333,29.62
670,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,383,0,1188,546,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,10,48,32,0,0,115.572,1,90,1,24,156.043533333333,31.39
671,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,383,0,1188,546,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,12,41.6,38.4,0,0,109.172,1,90,1,24,168.299533333333,33.17
672,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,463.5,0,1154.06,530.7,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,8,54.4,25.6,0,0,121.972,1,90,1,24,143.873181333333,32.43
673,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,463.5,0,1154.06,530.7,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,10,48,32,0,0,115.572,1,90,1,24,156.129181333333,34.21
674,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,463.5,0,1154.06,530.7,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,12,41.6,38.4,0,0,109.172,1,90,1,24,168.385181333333,35.98
675,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,530,0,1117,514,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,8,54.4,25.6,0,0,121.972,1,90,1,24,143.881133333333,42.8
676,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,530,0,1117,514,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,10,48,32,0,0,115.572,1,90,1,24,156.137133333333,45.02
677,64.11,18.58,4.32,1.21,0.24,0.21,1.02,0,0,0.64,530,0,1117,514,120,80,0.1426,0.2943,0.56,17.11,35.32,67.572,12,41.6,38.4,0,0,109.172,1,90,1,24,168.393133333333,47.24
1399,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,252,108,1090.8,774,115.7142857,46.28571429,0.115,0.3,0.59,13.31,34.71,67.69285714,8,31.47428571,14.81142857,0,14.4,107.8071429,0,25,1,30,112.66806856355,33.8369
1400,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,252,108,1090.8,774,128.5714286,51.42857143,0.115,0.3,0.59,14.79,38.57,75.21428571,8,34.97142857,16.45714286,0,14.4,118.8257143,0,25,1,30,120.4481828729,36.1631
1401,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,252,108,1090.8,774,141.4285714,56.57142857,0.115,0.3,0.59,16.26,42.43,82.73571429,8,38.46857143,18.10285714,0,14.4,129.8442857,0,25,1,30,128.2282971271,31.0876
1402,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,252,108,1090.8,774,154.2857143,61.71428571,0.115,0.3,0.59,17.74,46.29,90.25714286,8,41.96571429,19.74857143,0,14.4,140.8628571,0,25,1,30,136.00841143645,25.8006
1403,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,294,126,966,810.6,135,54,0.115,0.3,0.59,15.53,40.5,78.975,8,36.72,17.28,0,16.8,125.775,0,25,1,30,129.53088,36.7598
1404,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,294,126,966,810.6,150,60,0.115,0.3,0.59,17.25,45,87.75,8,40.8,19.2,0,16.8,138.63,0,25,1,30,138.60768,38.1285
1405,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,294,126,966,810.6,165,66,0.115,0.3,0.59,18.98,49.5,96.525,8,44.88,21.12,0,16.8,151.485,0,25,1,30,147.68448,26.2011
1406,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,294,126,966,810.6,180,72,0.115,0.3,0.59,20.7,54,105.3,8,48.96,23.04,0,16.8,164.34,0,25,1,30,156.76128,25.0279
1407,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,315,135,972,760.5,144.6428571,57.85714286,0.115,0.3,0.59,16.63,43.39,84.61607143,8,39.34285714,18.51428571,0,18,134.7589286,0,25,1,30,137.96228569065,33.8562
1408,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,315,135,972,760.5,160.7142857,64.28571429,0.115,0.3,0.59,18.48,48.21,94.01785714,8,43.71428571,20.57142857,0,18,148.5321429,0,25,1,30,147.68742856355,38.8889
1409,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,315,135,972,760.5,176.7857143,70.71428571,0.115,0.3,0.59,20.33,53.04,103.4196429,8,48.08571429,22.62857143,0,18,162.3053571,0,25,1,30,157.41257143645,25.6209
1410,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,315,135,972,760.5,192.8571429,77.14285714,0.115,0.3,0.59,22.18,57.86,112.8214286,8,52.45714286,24.68571429,0,18,176.0785714,0,25,1,30,167.13771430935,20.5882
1411,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,216,144,1090.8,774,115.7142857,46.28571429,0.115,0.3,0.59,13.31,34.71,67.69285714,8,31.47428571,14.81142857,0,14.4,107.8071429,0,25,1,30,114.39606856355,42.2961
1412,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,216,144,1090.8,774,128.5714286,51.42857143,0.115,0.3,0.59,14.79,38.57,75.21428571,8,34.97142857,16.45714286,0,14.4,118.8257143,0,25,1,30,122.1761828729,48.006
1413,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,216,144,1090.8,774,141.4285714,56.57142857,0.115,0.3,0.59,16.26,42.43,82.73571429,8,38.46857143,18.10285714,0,14.4,129.8442857,0,25,1,30,129.9562971271,46.7372
1414,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,216,144,1090.8,774,154.2857143,61.71428571,0.115,0.3,0.59,17.74,46.29,90.25714286,8,41.96571429,19.74857143,0,14.4,140.8628571,0,25,1,30,137.73641143645,43.3535
1415,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,252,168,966,810.6,135,54,0.115,0.3,0.59,15.53,40.5,78.975,8,36.72,17.28,0,16.8,125.775,0,25,1,30,131.54688,46.1453
1416,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,252,168,966,810.6,150,60,0.115,0.3,0.59,17.25,45,87.75,8,40.8,19.2,0,16.8,138.63,0,25,1,30,140.62368,51.4246
1417,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,252,168,966,810.6,165,66,0.115,0.3,0.59,18.98,49.5,96.525,8,44.88,21.12,0,16.8,151.485,0,25,1,30,149.70048,44.581
1418,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,252,168,966,810.6,180,72,0.115,0.3,0.59,20.7,54,105.3,8,48.96,23.04,0,16.8,164.34,0,25,1,30,158.77728,46.5363
1419,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,270,180,972,760.5,144.6428571,57.85714286,0.115,0.3,0.59,16.63,43.39,84.61607143,8,39.34285714,18.51428571,0,18,134.7589286,0,25,1,30,140.12228569065,45.7516
1420,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,270,180,972,760.5,160.7142857,64.28571429,0.115,0.3,0.59,18.48,48.21,94.01785714,8,43.71428571,20.57142857,0,18,148.5321429,0,25,1,30,149.84742856355,50.7843
1421,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,270,180,972,760.5,176.7857143,70.71428571,0.115,0.3,0.59,20.33,53.04,103.4196429,8,48.08571429,22.62857143,0,18,162.3053571,0,25,1,30,159.57257143645,41.8627
1422,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,270,180,972,760.5,192.8571429,77.14285714,0.115,0.3,0.59,22.18,57.86,112.8214286,8,52.45714286,24.68571429,0,18,176.0785714,0,25,1,30,169.29771430935,45.7516
1423,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,180,180,1090.8,774,115.7142857,46.28571429,0.115,0.3,0.59,13.31,34.71,67.69285714,8,31.47428571,14.81142857,0,14.4,107.8071429,0,25,1,30,116.12406856355,55.4079
1424,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,180,180,1090.8,774,128.5714286,51.42857143,0.115,0.3,0.59,14.79,38.57,75.21428571,8,34.97142857,16.45714286,0,14.4,118.8257143,0,25,1,30,123.9041828729,59.6375
1425,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,180,180,1090.8,774,141.4285714,56.57142857,0.115,0.3,0.59,16.26,42.43,82.73571429,8,38.46857143,18.10285714,0,14.4,129.8442857,0,25,1,30,131.6842971271,51.6012
1426,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,180,180,1090.8,774,154.2857143,61.71428571,0.115,0.3,0.59,17.74,46.29,90.25714286,8,41.96571429,19.74857143,0,14.4,140.8628571,0,25,1,30,139.46441143645,46.5257
1427,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,210,210,966,810.6,135,54,0.115,0.3,0.59,15.53,40.5,78.975,8,36.72,17.28,0,16.8,125.775,0,25,1,30,133.56288,56.7039
1428,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,210,210,966,810.6,150,60,0.115,0.3,0.59,17.25,45,87.75,8,40.8,19.2,0,16.8,138.63,0,25,1,30,142.63968,60.419
1429,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,210,210,966,810.6,165,66,0.115,0.3,0.59,18.98,49.5,96.525,8,44.88,21.12,0,16.8,151.485,0,25,1,30,151.71648,46.5363
1430,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,210,210,966,810.6,180,72,0.115,0.3,0.59,20.7,54,105.3,8,48.96,23.04,0,16.8,164.34,0,25,1,30,160.79328,47.514
1431,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,225,225,972,760.5,144.6428571,57.85714286,0.115,0.3,0.59,16.63,43.39,84.61607143,8,39.34285714,18.51428571,0,18,134.7589286,0,25,1,30,142.28228569065,48.9542
